ID,nT,m,k,power,base,K,seed,num_iter,num_burn,num_thin
365,300,200,2,2,0.95,100,365,5000,2500,5
366,300,200,2,2,0.95,100,366,5000,2500,5
367,300,200,2,2,0.95,100,367,5000,2500,5
368,300,200,2,2,0.95,100,368,5000,2500,5
369,300,200,2,2,0.95,100,369,5000,2500,5
370,300,200,2,2,0.95,100,370,5000,2500,5
371,300,200,2,2,0.95,100,371,5000,2500,5
372,300,200,2,2,0.95,100,372,5000,2500,5
373,300,200,2,2,0.95,100,373,5000,2500,5
374,300,200,2,2,0.95,100,374,5000,2500,5
375,300,200,2,2,0.95,100,375,5000,2500,5
376,300,200,2,2,0.95,100,376,5000,2500,5
377,300,200,2,2,0.95,100,377,5000,2500,5
378,300,200,2,2,0.95,100,378,5000,2500,5
379,300,200,2,2,0.95,100,379,5000,2500,5
380,300,200,2,2,0.95,100,380,5000,2500,5
381,300,200,2,2,0.95,100,381,5000,2500,5
382,300,200,2,2,0.95,100,382,5000,2500,5
383,300,200,2,2,0.95,100,383,5000,2500,5
384,300,200,2,2,0.95,100,384,5000,2500,5
385,300,200,2,2,0.95,100,385,5000,2500,5
386,300,200,2,2,0.95,100,386,5000,2500,5
387,300,200,2,2,0.95,100,387,5000,2500,5
388,300,200,2,2,0.95,100,388,5000,2500,5
389,300,200,2,2,0.95,100,389,5000,2500,5
390,300,200,2,2,0.95,100,390,5000,2500,5
391,300,200,2,2,0.95,100,391,5000,2500,5
392,300,200,2,2,0.95,100,392,5000,2500,5
393,300,200,2,2,0.95,100,393,5000,2500,5
394,300,200,2,2,0.95,100,394,5000,2500,5
395,300,200,2,2,0.95,100,395,5000,2500,5
396,300,200,2,2,0.95,100,396,5000,2500,5
397,300,200,2,2,0.95,100,397,5000,2500,5
398,300,200,2,2,0.95,100,398,5000,2500,5
399,300,200,2,2,0.95,100,399,5000,2500,5
400,300,200,2,2,0.95,100,400,5000,2500,5
401,300,200,2,2,0.95,100,401,5000,2500,5
402,300,200,2,2,0.95,100,402,5000,2500,5
403,300,200,2,2,0.95,100,403,5000,2500,5
404,300,200,2,2,0.95,100,404,5000,2500,5
405,300,200,2,2,0.95,100,405,5000,2500,5
406,300,200,2,2,0.95,100,406,5000,2500,5
407,300,200,2,2,0.95,100,407,5000,2500,5
408,300,200,2,2,0.95,100,408,5000,2500,5
409,300,200,2,2,0.95,100,409,5000,2500,5
410,300,200,2,2,0.95,100,410,5000,2500,5
411,300,200,2,2,0.95,100,411,5000,2500,5
412,300,200,2,2,0.95,100,412,5000,2500,5
413,300,200,2,2,0.95,100,413,5000,2500,5
414,300,200,2,2,0.95,100,414,5000,2500,5
415,300,200,2,2,0.95,100,415,5000,2500,5
416,300,200,2,2,0.95,100,416,5000,2500,5
417,300,200,2,2,0.95,100,417,5000,2500,5
418,300,200,2,2,0.95,100,418,5000,2500,5
419,300,200,2,2,0.95,100,419,5000,2500,5
420,300,200,2,2,0.95,100,420,5000,2500,5
421,300,200,2,2,0.95,100,421,5000,2500,5
422,300,200,2,2,0.95,100,422,5000,2500,5
423,300,200,2,2,0.95,100,423,5000,2500,5
424,300,200,2,2,0.95,100,424,5000,2500,5
425,300,200,2,2,0.95,100,425,5000,2500,5
426,300,200,2,2,0.95,100,426,5000,2500,5
427,300,200,2,2,0.95,100,427,5000,2500,5
428,300,200,2,2,0.95,100,428,5000,2500,5
429,300,200,2,2,0.95,100,429,5000,2500,5
430,300,200,2,2,0.95,100,430,5000,2500,5
431,300,200,2,2,0.95,100,431,5000,2500,5
432,300,200,2,2,0.95,100,432,5000,2500,5
433,300,200,2,2,0.95,100,433,5000,2500,5
434,300,200,2,2,0.95,100,434,5000,2500,5
435,300,200,2,2,0.95,100,435,5000,2500,5
436,300,200,2,2,0.95,100,436,5000,2500,5
437,300,200,2,2,0.95,100,437,5000,2500,5
438,300,200,2,2,0.95,100,438,5000,2500,5
439,300,200,2,2,0.95,100,439,5000,2500,5
440,300,200,2,2,0.95,100,440,5000,2500,5
441,300,200,2,2,0.95,100,441,5000,2500,5
442,300,200,2,2,0.95,100,442,5000,2500,5
443,300,200,2,2,0.95,100,443,5000,2500,5
444,300,200,2,2,0.95,100,444,5000,2500,5
445,300,200,2,2,0.95,100,445,5000,2500,5
446,300,200,2,2,0.95,100,446,5000,2500,5
447,300,200,2,2,0.95,100,447,5000,2500,5
448,300,200,2,2,0.95,100,448,5000,2500,5
449,300,200,2,2,0.95,100,449,5000,2500,5
450,300,200,2,2,0.95,100,450,5000,2500,5
451,300,200,2,2,0.95,100,451,5000,2500,5
452,300,200,2,2,0.95,100,452,5000,2500,5
453,300,200,2,2,0.95,100,453,5000,2500,5
454,300,200,2,2,0.95,100,454,5000,2500,5
455,300,200,2,2,0.95,100,455,5000,2500,5
456,300,200,2,2,0.95,100,456,5000,2500,5
457,300,200,2,2,0.95,100,457,5000,2500,5
458,300,200,2,2,0.95,100,458,5000,2500,5
459,300,200,2,2,0.95,100,459,5000,2500,5
460,300,200,2,2,0.95,100,460,5000,2500,5
461,300,200,2,2,0.95,100,461,5000,2500,5
462,300,200,2,2,0.95,100,462,5000,2500,5
463,300,200,2,2,0.95,100,463,5000,2500,5
464,300,200,2,2,0.95,100,464,5000,2500,5
465,300,200,2,2,0.95,100,465,5000,2500,5
466,300,200,2,2,0.95,100,466,5000,2500,5
467,300,200,2,2,0.95,100,467,5000,2500,5
468,300,200,2,2,0.95,100,468,5000,2500,5
469,300,200,2,2,0.95,100,469,5000,2500,5
470,300,200,2,2,0.95,100,470,5000,2500,5
471,300,200,2,2,0.95,100,471,5000,2500,5
472,300,200,2,2,0.95,100,472,5000,2500,5
473,300,200,2,2,0.95,100,473,5000,2500,5
474,300,200,2,2,0.95,100,474,5000,2500,5
475,300,200,2,2,0.95,100,475,5000,2500,5
476,300,200,2,2,0.95,100,476,5000,2500,5
477,300,200,2,2,0.95,100,477,5000,2500,5
478,300,200,2,2,0.95,100,478,5000,2500,5
479,300,200,2,2,0.95,100,479,5000,2500,5
480,300,200,2,2,0.95,100,480,5000,2500,5
481,300,200,2,2,0.95,100,481,5000,2500,5
482,300,200,2,2,0.95,100,482,5000,2500,5
483,300,200,2,2,0.95,100,483,5000,2500,5
484,300,200,2,2,0.95,100,484,5000,2500,5
485,300,200,2,2,0.95,100,485,5000,2500,5
486,300,200,2,2,0.95,100,486,5000,2500,5
487,300,200,2,2,0.95,100,487,5000,2500,5
488,300,200,2,2,0.95,100,488,5000,2500,5
489,300,200,2,2,0.95,100,489,5000,2500,5
490,300,200,2,2,0.95,100,490,5000,2500,5
491,300,200,2,2,0.95,100,491,5000,2500,5
492,300,200,2,2,0.95,100,492,5000,2500,5
493,300,200,2,2,0.95,100,493,5000,2500,5
494,300,200,2,2,0.95,100,494,5000,2500,5
495,300,200,2,2,0.95,100,495,5000,2500,5
496,300,200,2,2,0.95,100,496,5000,2500,5
497,300,200,2,2,0.95,100,497,5000,2500,5
498,300,200,2,2,0.95,100,498,5000,2500,5
499,300,200,2,2,0.95,100,499,5000,2500,5
500,300,200,2,2,0.95,100,500,5000,2500,5
